,func_caller
0,0.2991979122161865
1,0.0002884864807128906
2,0.00025773048400878906
3,0.00026345252990722656
4,0.00023746490478515625
5,0.00023508071899414062
6,0.0002377033233642578
7,0.00023889541625976562
8,0.00030517578125
9,0.0003483295440673828
10,0.00030493736267089844
11,0.00026917457580566406
12,0.00039649009704589844
13,0.0002715587615966797
14,0.0002739429473876953
15,0.0002377033233642578
16,0.0002963542938232422
17,0.00024056434631347656
18,0.00025200843811035156
19,0.00024247169494628906
20,0.00035858154296875
21,0.0002651214599609375
22,0.0002791881561279297
23,0.00027751922607421875
24,0.00042247772216796875
25,0.00024437904357910156
26,0.0002446174621582031
27,0.0003437995910644531
28,0.00024771690368652344
29,0.000240325927734375
30,0.0002727508544921875
31,0.00023698806762695312
32,0.0002448558807373047
33,0.0002675056457519531
34,0.0002751350402832031
35,0.00027060508728027344
36,0.0002484321594238281
37,0.0002739429473876953
38,0.00030922889709472656
39,0.00022745132446289062
40,0.0002779960632324219
41,0.0002727508544921875
42,0.00037360191345214844
43,0.0002551078796386719
44,0.0002968311309814453
45,0.0002484321594238281
46,0.00027108192443847656
47,0.00036334991455078125
48,0.00027108192443847656
49,0.0002422332763671875
50,0.00026679039001464844
51,0.0002410411834716797
52,0.0002548694610595703
53,0.00030684471130371094
54,0.0002689361572265625
55,0.0003571510314941406
56,0.0002446174621582031
57,0.0002372264862060547
58,0.0002663135528564453
59,0.0002434253692626953
60,0.00024199485778808594
61,0.0002548694610595703
62,0.0002491474151611328
63,0.0002512931823730469
64,0.0002429485321044922
65,0.00023984909057617188
66,0.0002589225769042969
67,0.00024437904357910156
68,0.0002224445343017578
69,0.0003571510314941406
70,0.00032210350036621094
71,0.0002906322479248047
72,0.0002574920654296875
73,0.00025844573974609375
74,0.0002772808074951172
75,0.00027298927307128906
76,0.00026917457580566406
77,0.00027751922607421875
78,0.0003578662872314453
79,0.00026226043701171875
80,0.0003743171691894531
81,0.0003590583801269531
82,0.0002765655517578125
83,0.00028228759765625
84,0.00028061866760253906
85,0.00037932395935058594
86,0.000274658203125
87,0.0003771781921386719
88,0.00033855438232421875
89,0.00027441978454589844
90,0.00027298927307128906
91,0.00024771690368652344
92,0.0002675056457519531
93,0.00025582313537597656
94,0.0003104209899902344
95,0.00028586387634277344
