,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[14.50245478],False,0.0,0.0,0.14542929988655134,[40.55038611  8.7878698 ],[39.46505549  5.5002625 ],[41.41044223 13.0002625 ],"[array([[ 3.18282533, 36.17958567, 34.48586607]]), 0.0972026845813152]","[0, 2.3257055611465293e-05]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.45507201e-01 3.84576661e+01 3.01461691e+01 3.34242627e+03
 1.00009378e-04]",20,7,Newsvendor_BICO_RESULTS
1,[33.2608659],False,0.0,0.0,0.5423297722655159,[40.65316828  9.93587692],[39.48112661  5.39655947],[41.97387137 15.8710237 ],"[array([[51.78847769, 35.56411164, 26.21018842]]), 0.023375920824879937]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.14758128e-01 3.49226064e+01 2.52883107e+01 3.34242173e+03
 1.00019658e-04]",20,7,Newsvendor_BICO_RESULTS
2,[34.07245345],False,0.0,0.0,0.5585552164667144,[40.42075686  9.59633347],[39.50813664  5.41322762],[41.68257329 15.58777273],"[array([[11.21751448, 38.27776398, 24.86648339]]), 0.0023262759397579824]","[0, 0.0003386765685991344]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.41246780e-01 3.73096105e+01 2.60897655e+01 3.34242013e+03
 1.00000230e-04]",20,7,Newsvendor_BICO_RESULTS
3,[36.55653798],False,0.0,0.0,0.6014599562916189,[40.54202276  9.58170955],[39.53910076  5.13009421],[41.5573554  15.83335454],"[array([[59.33733561, 41.77507089,  8.91958179]]), 0.0006077158083155343]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.07827368e-01 3.72573958e+01 2.43300594e+01 3.34241984e+03
 1.00053389e-03]",20,7,Newsvendor_BICO_RESULTS
4,[37.00092212],False,0.0,0.0,0.6072497386063742,[40.57801353  9.27458073],[39.4561492   5.33593965],[41.88908545 14.53357657],"[array([[17.5074713 , 40.94315883, 10.10700402]]), 0.000833102770471994]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.44773707e-01 3.82147227e+01 2.53779121e+01 3.34241992e+03
 7.45196860e-04]",20,7,Newsvendor_BICO_RESULTS
5,[37.24678898],True,0.0,0.0,0.6100985831175629,[40.54159503  9.73409607],[39.53599726  5.4964104 ],[41.59638804 16.89151991],"[array([[79.12520851, 40.1568035 , 16.15459393]]), 0.0002475006996957019]","[0, 0.0002488625787533061]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.25009828e-01 3.82062933e+01 2.46683610e+01 3.34242839e+03
 1.00003272e-04]",20,7,Newsvendor_BICO_RESULTS
6,[37.36187784],True,0.0,0.0,0.6113380413776118,[40.64631734  8.94715209],[39.65910002  5.58589023],[41.56480683 13.64266236],"[array([[79.18252071, 40.13528545, 16.84351601]]), 7.932054581849535e-05]","[0, 0.00041930256002558285]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.25004868e-01 3.82063003e+01 2.46682642e+01 3.34244019e+03
 1.00000018e-04]",20,7,Newsvendor_BICO_RESULTS
7,[37.13564644],True,0.0,0.0,0.6088439071603571,[40.44002535  8.05994275],[39.25717302  4.82971247],[41.33999065 13.44477865],"[array([[79.48019621, 40.23852811, 18.24751747]]), 6.814403335986263e-05]","[0, 0.000552427492497426]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.24961880e-01 3.82061036e+01 2.46681404e+01 3.34245262e+03
 1.00000267e-04]",20,7,Newsvendor_BICO_RESULTS
8,[37.11179273],True,0.0,0.0,0.6085674206355897,[40.41845184  8.40473917],[39.43854391  5.19083071],[41.42566294 13.79034599],"[array([[78.21281923, 40.06556569, 17.91143339]]), 6.249915505529557e-05]","[0, 0.0011546514304569145]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.25033672e-01 3.82061210e+01 2.46685818e+01 3.34246454e+03
 1.00000511e-04]",20,7,Newsvendor_BICO_RESULTS
9,[37.11683779],False,0.0,0.0,0.6086261082870122,[40.422841    8.14872973],[39.45028247  5.50901415],[41.34781465 13.49636743],"[array([[78.91881995, 40.16740121, 18.16066907]]), 0.00022218722224931486]","[0, 9.979852050721605e-05]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.25000949e-01 3.82060969e+01 2.46682857e+01 3.34248216e+03
 1.00000001e-04]",20,7,Newsvendor_BICO_RESULTS
10,[36.8918374],True,0.0,0.0,0.6059020510662129,[40.44663123  7.96938952],[39.63001815  4.53299776],[41.45831484 13.3294151 ],"[array([[21.24775609, 39.50424856, 14.07400587]]), 4.229203438388396e-05]","[0, 0.0007976875046162945]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.96448658e-01 4.02639580e+01 2.55667467e+01 3.34252619e+03
 1.00000003e-04]",20,7,Newsvendor_BICO_RESULTS
11,[36.74106481],False,0.0,0.0,0.6039589069075356,[40.31471393  7.62185538],[39.47472192  4.77005194],[41.15546751 11.35148431],"[array([[21.0650315 , 39.23626337, 14.54026192]]), 2.2081253833849956e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.96461525e-01 4.02640897e+01 2.55669073e+01 3.34255254e+03
 1.00000018e-04]",20,7,Newsvendor_BICO_RESULTS
12,[37.24125739],False,0.0,0.0,0.6100374635893459,[40.40806144  8.28584582],[39.60089491  5.15012619],[41.41454698 13.48928822],"[array([[54.88431339, 41.34156608,  6.52085476]]), 2.0286981482986466e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.02086244e-01 4.11773761e+01 2.56659181e+01 3.34255243e+03
 6.07840707e-04]",20,7,Newsvendor_BICO_RESULTS
13,[36.98456143],False,0.0,0.0,0.6070508104949188,[40.32144722  8.60329888],[39.3676592   4.91580673],[41.36713081 15.06540298],"[array([[36.55637759, 53.31264356,  8.15218244]]), 3.5686343333285464e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.15242900e-01 4.14810763e+01 2.57834623e+01 3.34255221e+03
 4.94830257e-04]",20,7,Newsvendor_BICO_RESULTS
14,[36.99369511],True,0.0,0.0,0.6071620081363023,[40.27634103  8.00426616],[39.41956448  5.19739538],[41.36391992 11.42436505],"[array([[37.37893866, 37.17462644, 26.14344831]]), 3.6001309112465574e-05]","[0, 0.0005155406801304762]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[6.72914066e-01 3.83516384e+01 2.74784270e+01 1.25659376e+02
 1.00000000e-04]",20,7,Newsvendor_BICO_RESULTS
15,[37.06784437],True,0.0,0.0,0.6080514740391808,[40.33634025  7.49390133],[39.60108268  4.24931956],[41.00742186 11.83154599],"[array([[20.50567171, 40.23828535,  4.9914736 ]]), 4.210206045801579e-05]","[0, 0.0003592782119497945]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.83326429e-01 4.08061250e+01 2.81577170e+01 2.99476033e+02
 3.73018437e-04]",20,7,Newsvendor_BICO_RESULTS
16,[37.06249256],True,0.0,0.0,0.6079880647732409,[40.32446131  7.20351024],[39.67763811  4.35819111],[41.09820505 11.82640461],"[array([[20.43265942, 40.16153411,  4.56088612]]), 2.9226644554736225e-05]","[0, 0.0009672724551241202]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.83330332e-01 4.08061419e+01 2.81577585e+01 2.99479240e+02
 3.73019859e-04]",20,7,Newsvendor_BICO_RESULTS
17,[37.08190686],False,0.0,0.0,0.6082174902270864,[40.34593295  7.31927024],[39.59653165  4.83499124],[41.00335257 10.75554293],"[array([[20.68638432, 40.24218641,  4.69316919]]), 2.977761046429883e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.83332445e-01 4.08061667e+01 2.81577616e+01 2.99482441e+02
 3.73021020e-04]",20,7,Newsvendor_BICO_RESULTS
18,[37.05708266],False,0.0,0.0,0.6079238413598901,[40.40773005  7.37828678],[39.65754246  4.5715292 ],[41.18609639 11.76491263],"[array([[53.22299856, 41.67073483,  5.90070604]]), 4.918517577412462e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.84510842e-01 4.08015834e+01 2.77639989e+01 3.70561322e+02
 3.23088713e-04]",20,7,Newsvendor_BICO_RESULTS
