,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[37.64282021],False,0.0,0.0,0.6140961641218954,[40.28910647 11.03137457],[39.17619713  6.32264786],[41.38178659 18.44178216],"[array([[20.811586  , 36.69769096, 29.41391655]]), 0.0031551300622554845]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.13096642e+00 4.50525182e+01 3.32064781e+01 2.50772264e+04
 3.10816318e-03]",20,4,Newsvendor_BICO_RESULTS
1,[37.38350901],False,0.0,0.0,0.6115659281970455,[40.31900872 10.58914343],[39.07019156  6.62939744],[41.48595438 16.54073304],"[array([[60.19314809, 45.44161309,  7.77166833]]), 0.00046612983069432845]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.13384433e+00 4.58655953e+01 3.32319432e+01 2.50772264e+04
 2.82334914e-03]",20,4,Newsvendor_BICO_RESULTS
2,[37.57069849],False,0.0,0.0,0.6134258683012234,[40.36066316 10.66738073],[39.24210845  6.48144379],[41.59969657 16.73787731],"[array([[19.36143274, 40.17075508, 11.79299369]]), 0.0002801834323028496]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.10812410e+00 4.53457705e+01 3.30598198e+01 2.50772264e+04
 2.39588901e-03]",20,4,Newsvendor_BICO_RESULTS
3,[38.01064033],False,0.0,0.0,0.617094144598784,[40.23337028 11.31954576],[39.21550795  6.10752155],[41.27577593 19.27837057],"[array([[19.64876166, 40.63550903, 17.83602931]]), 0.00025451251135621966]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.07114741e+00 4.40379389e+01 3.29570325e+01 2.50772264e+04
 2.06460763e-03]",20,4,Newsvendor_BICO_RESULTS
4,[38.19013066],False,0.0,0.0,0.61829075242001,[40.10069796 11.59396253],[38.76162019  6.18237622],[41.63913382 19.68799711],"[array([[55.58427589, 42.47422881, 10.33222825]]), 0.00018916168115451493]","[0, 0.00013776374026582493]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.04301939e+00 4.29020617e+01 3.27920136e+01 2.50772264e+04
 1.73987969e-03]",20,4,Newsvendor_BICO_RESULTS
5,[38.40092877],False,0.0,0.0,0.6194624570696443,[40.20083234 11.33037178],[38.83847813  6.73762107],[41.30883062 18.52845922],"[array([[22.28375242, 39.36619397, 11.10063896]]), 5.292702894232892e-06]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.02649483e+00 4.19281307e+01 3.26714388e+01 2.50772264e+04
 1.45089398e-03]",20,4,Newsvendor_BICO_RESULTS
6,[38.76732016],False,0.0,0.0,0.6208732186630084,[40.30505766 11.54650677],[39.1308331   6.83526914],[41.65006949 20.30767544],"[array([[81.50389646, 34.18818235, 16.57270215]]), 4.9353469546042916e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.73507427e-01 3.86723871e+01 3.00866942e+01 2.95283536e+02
 1.00000004e-04]",20,4,Newsvendor_BICO_RESULTS
7,[38.13772887],True,0.0,0.0,0.6179600532162698,[40.15198814 11.82721855],[39.10039303  6.5812429 ],[41.32493177 19.90838078],"[array([[55.8392221 , 40.10248376,  9.14957294]]), 6.520240211194128e-06]","[0, 8.46355730404591e-06]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[9.80951470e-01 4.71854837e+01 3.00316732e+01 4.43931027e+02
 8.91030221e-04]",20,4,Newsvendor_BICO_RESULTS
8,[38.06660584],False,0.0,0.0,0.6174865018534026,[40.08103385 11.43380678],[38.87791517  6.51204528],[41.14965057 18.44326517],"[array([[55.78577358, 40.02032345,  8.64626052]]), 9.624927080731371e-06]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[9.80953247e-01 4.71854622e+01 3.00316439e+01 4.43930504e+02
 8.91027773e-04]",20,4,Newsvendor_BICO_RESULTS
9,[37.7079732],False,0.0,0.0,0.6146789984920975,[40.09446386 11.8243274 ],[39.01420854  7.87676045],[41.00138813 17.29201932],"[array([[20.04713655, 42.62564164,  4.72778831]]), 6.215770816914157e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.01549328e+00 4.78789233e+01 3.05415822e+01 4.12376109e+02
 9.59636397e-04]",20,4,Newsvendor_BICO_RESULTS
10,[37.58694669],True,0.0,0.0,0.613579165154584,[39.97930575 11.22161182],[38.98755903  6.06499998],[41.00048878 17.65150252],"[array([[37.96497347, 40.83906538, 12.75866931]]), 1.3694352086146555e-05]","[0, 0.0003780091956518755]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.00115217e+00 4.77908552e+01 3.02701921e+01 4.00509776e+02
 8.39788252e-04]",20,4,Newsvendor_BICO_RESULTS
11,[37.71499894],False,0.0,0.0,0.6147405534369808,[40.12707439  9.92698656],[39.03376374  6.4663739 ],[41.41280438 15.12655438],"[array([[38.22558929, 42.58985282, 15.27194924]]), 1.7491228900434752e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.00115362e+00 4.77908620e+01 3.02701959e+01 4.00510698e+02
 8.39789120e-04]",20,4,Newsvendor_BICO_RESULTS
12,[37.82729012],True,0.0,0.0,0.6156893667019084,[40.06426216 10.17878059],[38.9928642   6.26599607],[41.06328599 17.20080084],"[array([[56.07895155, 41.45186796,  5.65569013]]), 0.00011071361540293534]","[0, 0.000496170947389818]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.01215388e+00 4.34643204e+01 3.14954504e+01 5.76604996e+02
 2.09895093e-03]",20,4,Newsvendor_BICO_RESULTS
13,[38.25631892],True,0.0,0.0,0.6186862233832957,[40.40639176 10.5595025 ],[39.28495761  5.92283944],[41.61132733 16.52036805],"[array([[27.33669997, 36.40072208, 29.57551629]]), 7.305613131003419e-06]","[0, 0.0009932617297149493]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.02473359e+00 3.00313696e+01 3.45770628e+01 1.35785248e+03
 1.00259149e-03]",20,4,Newsvendor_BICO_RESULTS
14,[38.33621514],False,0.0,0.0,0.6191301044825774,[40.53408623 11.05145342],[39.32109346  6.74016996],[41.79724339 17.35080592],"[array([[27.48073558, 36.66526674, 30.04106545]]), 2.7816480642761654e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.02472912e+00 3.00313285e+01 3.45769239e+01 1.35785244e+03
 1.00259364e-03]",20,4,Newsvendor_BICO_RESULTS
