,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[30.84631202],False,0.0,0.0,0.492023399095193,[40.08894505 11.40077209],[38.78499755  6.45311492],[41.30428184 18.19431782],"[array([[16.22721142, 44.39550256, 35.71653086]]), 0.0020308527714538727]","[0, 0.00024095560968014185]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[6.32903082e+00 7.09226517e+01 8.03717164e+01 1.90833152e+05
 1.00020938e-04]",20,10,Newsvendor_BICO_RESULTS
1,[37.09258531],True,0.0,0.0,0.6083742013357312,[40.10294412 11.3120192 ],[39.10518618  6.57220787],[41.54013226 18.93117578],"[array([[ 1.40037182, 46.77414986, 39.93369102]]), 0.00045404582474001254]","[0, 0.0005065800241280271]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[2.45492040e+00 4.52167056e+01 6.75335485e+01 1.90833152e+05
 1.00000673e-04]",20,10,Newsvendor_BICO_RESULTS
2,[37.0393787],False,0.0,0.0,0.6077438945956618,[40.00360011 10.06234902],[39.09386869  5.56300318],[41.08921307 16.23231996],"[array([[ 1.4373247 , 46.74327834, 39.9879437 ]]), 0.0004069872891427906]","[0, 0.00021637226427279944]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[2.45495904e+00 4.52168245e+01 6.75338008e+01 1.90833152e+05
 1.00002064e-04]",20,10,Newsvendor_BICO_RESULTS
3,[37.42349083],False,0.0,0.0,0.6120080253831937,[40.05388706 10.59917867],[39.1091915  5.9224626],[41.02056655 16.22694006],"[array([[80.08910494, 40.24425992, 38.82799316]]), 7.033386395510766e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[2.28118304e+00 4.49113816e+01 6.79473878e+01 1.90833152e+05
 1.00002073e-04]",20,10,Newsvendor_BICO_RESULTS
4,[35.89413503],False,0.0,0.0,0.591537225797634,[40.21122142 10.07151921],[39.18572038  5.76185186],[41.3109818  16.97399081],"[array([[57.46762719, 38.04420083, 21.51850708]]), 0.0004467297262208403]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.68303863e+00 5.64802784e+01 7.18872224e+01 1.90833152e+05
 2.37215205e-03]",20,10,Newsvendor_BICO_RESULTS
5,[35.4644687],False,0.0,0.0,0.5843841428560932,[40.18032986  9.98287139],[39.121475    5.76249458],[41.42400372 15.87221687],"[array([[16.1417369 , 40.88781244, 17.40681765]]), 0.0003156874630859119]","[0, 0.00018287612597042756]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.71420392e+00 5.67224750e+01 7.29815554e+01 1.90833152e+05
 2.07284414e-03]",20,10,Newsvendor_BICO_RESULTS
6,[36.13113944],True,0.0,0.0,0.5952618305629845,[40.29520623 10.20309235],[39.18255461  5.89006128],[41.39253686 16.26135899],"[array([[54.90179159, 39.23904267, 13.67233055]]), 0.00014557899226902427]","[0, 0.0002575384777631007]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.36191706e+00 5.40851616e+01 7.15508974e+01 1.90833152e+05
 1.65112263e-03]",20,10,Newsvendor_BICO_RESULTS
7,[36.07677289],True,0.0,0.0,0.5944226424867313,[40.21266459  9.90309587],[39.06851169  5.07683516],[41.18199823 17.78208551],"[array([[55.06447733, 39.18705894, 13.49460757]]), 0.000283495149661972]","[0, 0.0006799480799483115]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.36168087e+00 5.40846078e+01 7.15483376e+01 1.90833152e+05
 1.65113683e-03]",20,10,Newsvendor_BICO_RESULTS
8,[36.25033702],False,0.0,0.0,0.597068649248973,[40.47643052  9.99084237],[39.32330038  5.52025685],[41.56906359 16.59449005],"[array([[16.93407868, 43.08644311, 29.35911947]]), 0.0002739902705961583]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.36148491e+00 5.40840743e+01 7.15465847e+01 1.90833152e+05
 1.65113406e-03]",20,10,Newsvendor_BICO_RESULTS
9,[36.59201799],False,0.0,0.0,0.6019804398760815,[40.5227704  10.50729664],[39.446465    6.54318182],[41.63598356 15.94065806],"[array([[54.0246961 , 40.54683114, 14.6357758 ]]), 5.205433080890387e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.15616839e+00 5.23242619e+01 7.05861181e+01 1.90833152e+05
 1.33927457e-03]",20,10,Newsvendor_BICO_RESULTS
