,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[31.44700898],False,0,0,0.5046833364240314,[41.28325745 20.58375548],[39.73088676 11.45983184],[43.17917786 34.9908839 ],"[array([[2.12205497e-07, 3.96494046e+01, 2.64317071e+01]]), 0.009343537601265495]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.66000882e+00 6.01267535e+01 3.18247736e+01 3.14074514e+05
 2.03342405e-03]",20,5,Newsvendor_BICO_RESULTS
1,[37.49164459],False,0,0,0.6127091861084907,[41.38959975 20.05281397],[39.90902642 11.89860196],[42.89743442 30.42898579],"[array([[55.15569123, 50.98106611,  3.84212175]]), 0.0009214005529628588]","[0, 0.00021809719826473007]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.56448453e+00 4.58729478e+01 4.26722938e+01 3.14074514e+05
 3.62273236e-03]",20,5,Newsvendor_BICO_RESULTS
2,[39.30332699],False,0,0,0.6214984130370833,[41.25086543 20.84752716],[39.81197556 12.72014161],[42.95007679 34.35466156],"[array([[18.59712131, 38.44497517, 26.28074272]]), 0.0004901824047286452]","[0, 0.00018777461765230762]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.42504747e+00 4.22098700e+01 4.39898709e+01 3.14074514e+05
 4.05590122e-03]",20,5,Newsvendor_BICO_RESULTS
3,[39.48431192],False,0,0,0.6212682978113022,[41.38267731 20.17063558],[39.36665237 11.49486507],[42.95091768 32.71495707],"[array([[18.84138146, 40.2036215 , 20.22649172]]), 0.00012004947696053758]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.40807669e+00 4.21601904e+01 4.37489701e+01 3.14074514e+05
 3.63115927e-03]",20,5,Newsvendor_BICO_RESULTS
4,[39.6086045],True,0,0,0.6209850655693673,[41.11336305 21.19573165],[39.28945505 11.77789715],[42.71478523 35.70870686],"[array([[57.56101883, 40.50546606,  8.8548556 ]]), 5.2442681143016756e-05]","[0, 0.0018066995453688822]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.49013540e+00 4.30068853e+01 4.37928240e+01 4.90194545e+02
 1.99327956e-03]",20,5,Newsvendor_BICO_RESULTS
5,[39.64024962],True,0,0,0.6208965909696283,[41.15585619 19.53882899],[39.60275667 11.03303938],[42.40440423 32.71978507],"[array([[57.56423628, 40.5962862 ,  6.91461622]]), 0.00010754399922285884]","[0, 0.0004942573726164123]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.49012760e+00 4.30069845e+01 4.37927094e+01 4.90194811e+02
 1.99328917e-03]",20,5,Newsvendor_BICO_RESULTS
6,[39.50475329],True,0,0,0.6212287292744514,[40.98000961 20.70845714],[39.6479335  12.05550888],[42.57615305 31.0453435 ],"[array([[57.84749816, 40.10254753,  7.43761928]]), 0.0001799199936939333]","[0, 0.00031365157906175446]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.49012785e+00 4.30069850e+01 4.37927107e+01 4.90195077e+02
 1.99328926e-03]",20,5,Newsvendor_BICO_RESULTS
7,[39.58598746],False,0,0,0.6210442160778736,[41.08580758 19.25658539],[39.8470868  12.29372904],[42.71566765 31.13829294],"[array([[57.87736584, 40.32964865,  5.8440685 ]]), 0.00016046878905529027]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.49012810e+00 4.30069858e+01 4.37927124e+01 4.90195341e+02
 1.99328938e-03]",20,5,Newsvendor_BICO_RESULTS
8,[38.72344994],True,0,0,0.6208119316961238,[41.15751769 18.69744016],[39.75406895 11.25002773],[42.75237682 33.16533586],"[array([[18.79251321, 40.74589753,  5.603859  ]]), 6.454440688974383e-05]","[0, 0.00047257441044874283]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.44744092e+00 4.29977236e+01 4.51342904e+01 7.41704119e+02
 3.35858242e-03]",20,5,Newsvendor_BICO_RESULTS
9,[38.58196121],True,0,0,0.6203244162626181,[40.98497647 17.73237686],[39.49591554 10.49309561],[42.52125517 25.91135279],"[array([[18.52057161, 40.37002794,  4.11611708]]), 0.00012204086206479836]","[0, 0.0008194366275061444]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.44741569e+00 4.29974331e+01 4.51343677e+01 7.41699977e+02
 3.35856940e-03]",20,5,Newsvendor_BICO_RESULTS
