,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[34.07362679],False,0.0,0.0,0.5585902859627628,[38.68318172  8.3811307 ],[37.60188382  4.61483749],[39.69391539 13.313054  ],"[array([[20.83172646, 37.80033707, 22.09315301]]), 0.01205294054669509]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.21910011e+00 3.35673437e+01 4.34894131e+01 2.41725313e+05
 3.43591818e-03]",20,1,Newsvendor_BICO_RESULTS
1,[35.53102148],False,0.0,0.0,0.5855195217919787,[38.65089085  8.36263351],[37.5815415   4.66611709],[39.84194181 14.17677908],"[array([[21.78303473, 37.21262326, 22.53621655]]), 0.0010860387973727903]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.23619413e+00 3.38972504e+01 4.50194755e+01 2.41725313e+05
 3.43173855e-03]",20,1,Newsvendor_BICO_RESULTS
2,[35.5647077],False,0.0,0.0,0.5860920294200304,[38.60887969  8.54241743],[37.55324921  4.79817828],[39.6908433 14.6136773],"[array([[21.94680142, 37.75216597, 20.036211  ]]), 0.00025418820387757]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.18995402e+00 3.29195035e+01 4.44045127e+01 3.62282214e+05
 2.72075121e-03]",20,1,Newsvendor_BICO_RESULTS
3,[35.75532984],False,0.0,0.0,0.5892766645162183,[38.66471166  8.37445548],[37.55805311  4.95176366],[39.63379989 13.78101568],"[array([[53.20219952, 42.68456734,  4.72627928]]), 0.00029424608031031196]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.14037176e+00 3.19292711e+01 4.34696061e+01 5.22124151e+05
 2.13007878e-03]",20,1,Newsvendor_BICO_RESULTS
4,[35.60874377],True,0.0,0.0,0.5868361241340326,[38.65894859  8.33148398],[37.70464197  4.9953777 ],[39.70911656 14.17361804],"[array([[22.05461659, 39.20441637,  2.96804595]]), 5.5820123641081576e-05]","[0, 0.00028437679989472]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.14644136e+00 3.24012927e+01 4.33800535e+01 5.47976477e+05
 1.95255233e-03]",20,1,Newsvendor_BICO_RESULTS
5,[35.79711691],False,0.0,0.0,0.589961824361058,[38.81656209  8.98131203],[37.72319593  5.18927602],[40.0245405  15.18667921],"[array([[22.42747725, 39.30067026,  4.59044535]]), 7.302317526342028e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.14635801e+00 3.24010820e+01 4.33779850e+01 5.47976477e+05
 1.95247657e-03]",20,1,Newsvendor_BICO_RESULTS
6,[35.98358522],True,0.0,0.0,0.5929591878387488,[38.90913219  8.17667709],[37.89614433  5.3184288 ],[39.83342714 12.02481767],"[array([[50.74395124, 39.41860138,  4.58381871]]), 0.000245110731619147]","[0, 0.00033417595406462497]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.11355436e+00 3.19010677e+01 4.25221878e+01 5.47976477e+05
 1.62185352e-03]",20,1,Newsvendor_BICO_RESULTS
7,[36.22953855],False,0.0,0.0,0.596753147450073,[39.11359363  9.47091126],[37.91225388  5.54992265],[40.00306554 14.62298272],"[array([[52.24863703, 40.84718276,  2.63563718]]), 0.00011721723412694285]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.11354983e+00 3.19010814e+01 4.25221449e+01 5.47976477e+05
 1.62185632e-03]",20,1,Newsvendor_BICO_RESULTS
8,[36.26892458],False,0.0,0.0,0.5973427410689452,[39.1965821  10.01126227],[38.07517318  5.67516488],[40.43261432 17.99017795],"[array([[23.836268  , 40.41192636,  8.72425503]]), 7.602637343834262e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.09509471e+00 3.17347868e+01 4.18758640e+01 5.47976477e+05
 1.40488408e-03]",20,1,Newsvendor_BICO_RESULTS
9,[36.15222727],True,0.0,0.0,0.5955810662729004,[39.06796532  9.1698567 ],[37.95583508  5.38259087],[40.1555064  13.59785147],"[array([[48.68447657, 37.94144259,  3.07247985]]), 1.2691978096668333e-05]","[0, 0.0010717097816832794]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.07249404e+00 3.14288478e+01 4.11033412e+01 5.47976477e+05
 1.20182363e-03]",20,1,Newsvendor_BICO_RESULTS
