,X_r,Decision,best_r_quality,top_quality,OC,mean_input,P5_input,P95_input,KG,DL,HP_names,HP_vars,fp,file_number,results_name
0,[12.08202487],False,0.0,0.0,0.09408710329527174,[39.67298247  8.3888485 ],[38.80726317  4.93477035],[40.65899632 13.82047496],"[array([[8.84116519e-06, 3.37614474e+01, 2.50717877e+01]]), 0.021968587629775715]","[0, 7.816460528688785e-05]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[2.88081006e+00 7.27859039e+01 5.04169366e+01 3.59006447e+04
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
1,[42.86629563],False,0.0,0.0,0.5784342999340997,[39.56083838  8.16813479],[38.40564889  4.72315411],[40.59668164 12.59545388],"[array([[94.43826816, 39.67840113,  7.37074823]]), 0.040937047140511405]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[0.1692371  0.38079023 0.82253336 0.7525688  0.05925036],20,6,Newsvendor_BICO_RESULTS
2,[42.86630218],False,0.0,0.0,0.578434154796746,[39.55547217  8.21644842],[38.53317118  5.03226549],[40.755468   14.02441557],"[array([[28.48744317, 39.46730635,  6.57535424]]), 0.03199753561194088]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[0.24292423 1.15191954 0.64583546 0.41010209 0.06011769],20,6,Newsvendor_BICO_RESULTS
3,[28.4874403],False,0.0,0.0,0.44207368877421543,[39.51168206  8.56236956],[38.4951512   5.16058963],[40.66577115 13.64868376],"[array([[27.27610008, 39.4425173 ,  7.22942659]]), 0.018826652391791085]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']",[0.16026886 0.8457019  0.45946202 1.47811183 0.13449552],20,6,Newsvendor_BICO_RESULTS
4,[40.02308257],False,0.0,0.0,0.6192778536489367,[39.64731328  8.39848672],[38.76284885  4.72016642],[40.78138272 13.99956209],"[array([[55.16759547, 40.77808414,  2.39959775]]), 0.0006597816434960047]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.66799479e-01 3.38833551e+01 2.95366426e+01 3.11652031e+04
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
5,[35.95633144],False,0.0,0.0,0.592538182771362,[39.64386628  8.1830868 ],[38.50024909  4.45382275],[40.77169434 13.86939548],"[array([[17.47426187, 38.6565617 , 14.20729937]]), 9.529550138814846e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[1.44142148e+00 4.78246384e+01 3.29336241e+01 2.21957403e+02
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
6,[36.49329108],False,0.0,0.0,0.6006124097875932,[39.53738854  8.24996289],[38.65471231  4.82363922],[40.55895109 14.27610114],"[array([[36.14769453, 39.09214118,  2.20452687]]), 4.2231974369477676e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[8.16456618e-01 3.60554598e+01 2.77993559e+01 1.90269994e+02
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
7,[37.34229063],False,0.0,0.0,0.6111675131103178,[39.55692635  7.89865533],[38.58069377  4.59107858],[40.44034319 11.97128162],"[array([[52.92161777, 42.18242753,  7.96534437]]), 0.0001640383875506357]","[0, 6.941860160876278e-05]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.84115966e-01 3.69628745e+01 2.90281290e+01 2.68829170e+05
 2.92528976e-03]",20,6,Newsvendor_BICO_RESULTS
8,[37.03615808],True,0.0,0.0,0.6077116058443355,[39.59318924  8.15987979],[38.30153342  4.70863479],[40.84641147 13.12044183],"[array([[19.25760559, 39.20281573, 13.38516954]]), 0.0005425466662924983]","[0, 0.0007590319849114058]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.94935310e-01 3.74233688e+01 2.78368561e+01 2.68829170e+05
 2.38702194e-03]",20,6,Newsvendor_BICO_RESULTS
9,[37.13426967],False,0.0,0.0,0.6088648691955799,[39.71783173  8.70813818],[38.76206582  5.00357096],[40.70218241 14.00513835],"[array([[19.25564712, 39.46418608, 13.41660702]]), 0.00020483534791082558]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.94936880e-01 3.74233693e+01 2.78368606e+01 2.68829170e+05
 2.38702106e-03]",20,6,Newsvendor_BICO_RESULTS
10,[39.08901932],True,0.0,0.0,0.6214783927173184,[39.70075796  8.81765664],[38.5450089   5.14610062],[40.76728893 14.95078858],"[array([[47.00337463, 39.44633274,  0.44946962]]), 0.0007400190233475268]","[0, 0.0016324362586964548]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[4.63998573e-01 1.84409169e+01 2.61007022e+01 4.07520078e+02
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
11,[39.11620556],True,0.0,0.0,0.6214952876771036,[39.78118484  7.67734541],[38.91981892  4.97346881],[40.64166931 11.018502  ],"[array([[4.69713416e+01, 3.95684598e+01, 2.73607634e-04]]), 0.00032490251297623285]","[0, 0.0006230169707281985]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[4.63998739e-01 1.84409174e+01 2.61007323e+01 4.07519276e+02
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
12,[39.06239272],False,0.0,0.0,0.6214572465148577,[39.57621391  7.88660265],[38.61347624  4.26094476],[40.4154986  12.99061539],"[array([[46.95425949, 39.54612697,  0.17556461]]), 0.0008812332180022642]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[4.63997956e-01 1.84409122e+01 2.61006909e+01 4.07519044e+02
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
13,[37.86570684],True,0.0,0.0,0.6160368237796209,[39.58700542  7.63784151],[38.34527994  4.34716116],[40.56953616 11.95303553],"[array([[45.79803155, 41.1366319 ,  9.27195786]]), 0.00014983732351392387]","[0, 0.0031919318794372776]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.97484130e-01 1.60850184e+01 2.32104193e+01 4.83026677e+05
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
14,[37.08367223],True,0.0,0.0,0.6082753768627341,[39.55090954  7.39147547],[38.89048856  4.92982884],[40.48439753 10.37494347],"[array([[22.09776812, 38.67612921,  9.89319664]]), 6.839867686214696e-05]","[0, 0.0005738669401319096]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.85829636e-01 3.68733473e+01 2.63482811e+01 3.38231678e+05
 1.46896832e-03]",20,6,Newsvendor_BICO_RESULTS
15,[36.79776825],True,0.0,0.0,0.604738743247118,[39.21573822  9.16364578],[38.08799816  5.65551601],[40.28130743 15.09271502],"[array([[21.81618702, 37.54919678, 13.97058161]]), 5.452263823801928e-05]","[0, 0.0011482980604119698]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.85917284e-01 3.68751719e+01 2.63490076e+01 5.57669721e+05
 1.46902007e-03]",20,6,Newsvendor_BICO_RESULTS
16,[36.95253782],False,0.0,0.0,0.6066959123022475,[39.396951    9.71076808],[38.23298583  5.78974298],[40.25936577 13.35657269],"[array([[21.96196063, 38.17178097,  9.44153603]]), 6.535969231746819e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.85874464e-01 3.68740665e+01 2.63488929e+01 5.57669721e+05
 1.46899610e-03]",20,6,Newsvendor_BICO_RESULTS
17,[37.07739193],False,0.0,0.0,0.6082014225281129,[39.40031567  9.16728546],[38.2509503   5.11896735],[40.29344612 14.34507603],"[array([[51.50135827, 38.5664888 ,  9.73048525]]), 0.0002560660884552979]","[0, 0.0001967283259858199]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[7.74953706e-01 3.62657037e+01 2.69962993e+01 5.57669721e+05
 1.37697950e-03]",20,6,Newsvendor_BICO_RESULTS
18,[37.85479961],False,0.0,0.0,0.615949678797383,[39.40198872  9.4257261 ],[38.52552523  5.87570423],[40.34566087 16.8192622 ],"[array([[37.74592466, 42.5891472 , 18.45532097]]), 1.0202432421779761e-05]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.56129860e-01 1.63903285e+01 2.05458962e+01 4.64988017e+05
 1.00000000e-04]",20,6,Newsvendor_BICO_RESULTS
19,[37.69320231],True,0.0,0.0,0.6145851977998797,[39.29055139  9.18362029],[38.288856    5.75379021],[40.31439272 13.64996238],"[array([[37.55425233, 33.4772293 , 10.07923142]]), 4.0986325655745226e-05]","[0, 0.00040555786891834035]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.28064451e-01 1.68500824e+01 1.77045754e+01 4.64988017e+05
 1.18879568e-04]",20,6,Newsvendor_BICO_RESULTS
20,[38.01841494],False,0.0,0.0,0.6171897158422918,[39.73601201  9.94519943],[38.86623099  6.07287517],[40.59081014 14.38427615],"[array([[44.94096637, 41.37763475,  6.2188359 ]]), 9.77789343714619e-07]","[0, 0]","['rbf.variance', 'rbf.lengthscale', 'Gaussian_noise.variance']","[3.28064281e-01 1.68499935e+01 1.77047149e+01 4.64988017e+05
 1.18875648e-04]",20,6,Newsvendor_BICO_RESULTS
