,KG_Mc_Input
0,7.239295959472656
1,1.867985725402832
2,7.167409896850586
3,3.4143433570861816
4,5.798717260360718
5,4.575769424438477
6,7.5469512939453125
7,9.283652067184448
8,10.85620927810669
9,9.327226638793945
10,3.1041111946105957
11,12.72491192817688
12,10.985860586166382
13,11.377286195755005
14,9.682212114334106
15,11.495658874511719
16,10.786450624465942
17,9.758455514907837
18,9.809828519821167
19,10.328003406524658
20,10.670961380004883
21,9.417439222335815
22,10.75772476196289
23,12.32689881324768
24,10.603294372558594
25,12.016170740127563
26,7.705084323883057
27,8.763813972473145
28,6.144123077392578
29,10.937541007995605
30,7.210502862930298
31,7.385183334350586
32,11.031150817871094
33,12.158702611923218
34,12.192623138427734
35,12.253565788269043
36,11.885605335235596
37,13.70332646369934
38,12.565906524658203
39,9.04830813407898
40,9.08091139793396
41,8.889975547790527
42,10.087623357772827
43,9.978237867355347
44,11.239835500717163
45,9.915760040283203
46,12.86127781867981
47,11.409276723861694
48,8.820115327835083
49,8.321980953216553
50,10.317762851715088
51,9.326622724533081
52,8.09685492515564
53,7.753673791885376
54,8.638185739517212
55,7.922421216964722
56,11.085360527038574
57,10.074942350387573
58,8.573603391647339
59,8.287243127822876
60,6.628194570541382
61,11.214654207229614
62,12.548935413360596
63,19.69929790496826
64,14.468539237976074
65,14.684826612472534
66,10.539799213409424
67,10.732105493545532
68,12.16387677192688
69,9.86764907836914
70,17.26102328300476
71,9.230385780334473
72,9.404598712921143
73,10.616338014602661
74,9.867088556289673
75,11.245347738265991
76,10.156275749206543
77,9.503502607345581
78,8.55952525138855
79,12.42767596244812
80,9.159208536148071
81,8.66110873222351
82,10.723368644714355
83,12.403514623641968
84,8.733089208602905
85,8.074700355529785
86,6.829553842544556
87,13.06908392906189
88,10.771273851394653
89,11.577398777008057
